n,C,time,mem,,n,C,time,mem
100,5050,20.4185035228729,11170.36328125,,100,1000,3.91468691825867,2026.9375
110,5550,24.8711075782776,12254.8359375,,110,1000,4.26268625259399,2202.359375
120,6050,29.4571931362152,13191.49609375,,120,1000,4.70873093605042,2181.16796875
130,6550,34.6392986774445,11873.390625,,130,1000,5.11673974990845,1392
140,7050,40.0240497589111,15379.5390625,,140,1000,5.54018902778626,1391.15234375
150,7550,46.2227113246918,15544.83203125,,150,1000,5.84437465667725,1389.45703125
160,8050,52.9665925502777,14743.796875,,160,1000,6.37972640991211,1391.15234375
170,8550,59.4234967231751,16347.5625,,170,1000,6.77959823608398,1392
180,9050,66.2262599468231,17286.015625,,180,1000,7.04980731010437,1741.6953125
190,9550,74.3227860927582,20808.4140625,,190,1000,7.40664410591126,1392
200,10050,82.8018751144409,18133.453125,,200,1000,7.85254311561585,1392
210,10550,90.7815442085266,21032.4375,,210,1000,8.17859196662903,1392
220,11050,100.089922189713,21656.91796875,,220,1000,8.46471929550171,1392
230,11550,115.749298810959,20410.015625,,230,1000,8.80840229988098,2170.1484375
240,12050,126.210461854935,25108.57421875,,240,1000,9.19407820701599,1392
250,12550,139.10973572731,27840.5703125,,250,1000,9.61787414550781,1425.05859375
260,13050,147.63490486145,23633.65234375,,260,1000,9.96416091918945,1392
270,13550,160.3534116745,29605.390625,,270,1000,10.3754947185516,1394.54296875
280,14050,172.635608434677,28113.7578125,,280,1000,10.7850480079651,1392
290,14550,187.34201169014,32041.796875,,290,1000,11.140841960907,1392
300,15050,198.357199668884,32281.68359375,,300,1000,11.4885315895081,2070.125
310,15550,212.729938983917,31515.40234375,,310,1000,11.8803780078888,1392
320,16050,224.233299970627,27086.27734375,,320,1000,12.2399251461029,1998.07421875
330,16550,235.719334363937,35842.56640625,,330,1000,12.7283470630646,1392
340,17050,246.495147705078,31716.17578125,,340,1000,13.0606245994568,2070.97265625
350,17550,270.760931015015,29239.32421875,,350,1000,13.4558823108673,1392
360,18050,280.948224306107,34048.3203125,,360,1000,13.7518582344055,1803.9609375
370,18550,294.590855360031,37838.19140625,,370,1000,14.2862348556519,1394.54296875
380,19050,317.424838781357,35871.62890625,,380,1000,14.6376986503601,1392
,,,,,390,1000,15.5542171001434,1392
,,,,,400,1000,15.5622475147247,1392
,,,,,410,1000,15.9606547355652,2004.0078125
,,,,,420,1000,16.357298374176,1392
,,,,,430,1000,16.4362208843231,1392.224609375
,,,,,440,1000,16.9249398708344,1392
,,,,,450,1000,17.4084191322327,1392
,,,,,460,1000,17.7909827232361,2104.03125
,,,,,470,1000,18.5272655487061,1887.03125
,,,,,480,1000,18.7865433692932,1392
,,,,,490,1000,18.8776519298553,1392
,,,,,500,1000,19.2936127185822,1392
,,,,,510,1000,19.6882374286652,1392
