n,W,time,mem,temp,bit,var,log(x)*62.15103496 -841.04006535,,sqrt(x)*0.73302702-119.31451633,,x*8.26970152e-04-8.39905974e+00,,bitx*5.33949020e-04-3.32804428e+01,,xlogx*4.24393127e-05+1.46416058e+00,,x2*1.14152606e-+6.94126336e+01,,x3*1.95031195e-15+7.78951264e-33,,2**x,
3,200,0.039004564,1354.077148,600,8,768,-267.4594323,71555.41371,-101.3590947,10281.57453,-7.902877649,63.07349309,-32.87036995,1083.026931,1.699159413,2.756114123,69.41304455,4812.757424,4.21E-07,1.52E-03,4.15E+180,1.721847945638575061806737770E+361
5,300,0.13551712,16.89355469,1500,9,2560,-185.300233,34386.41744,-90.92450192,8291.927068,-7.158604512,53.20421039,-31.91353331,1027.141633,2.135810243,4.001172577,69.41520203,4799.674742,6.58E-06,1.84E-02,3.507466211043403874762758796E+451,1.230231922161117176931558813E+903
6,350,0.242081404,1509.12793,2100,9,3072,-155.1304533,24140.62455,-85.72299827,7389.994924,-6.662422421,47.67217306,-31.64015141,1016.476769,2.447732588,4.864897148,69.41766773,4785.261744,1.81E-05,5.86E-02,1.455428565004863093618902384E+632,2.118272307832114995734463157E+1264
9,500,0.901835203,1536.275391,4500,10,9216,-86.79317324,7690.414507,-70.14156895,5047.165273,-4.677694056,31.13114675,-28.35956863,856.2297544,3.781800806,8.294201871,69.4357495,4696.897409,0.000177722,8.13E-01,4.314996898727097428377780355E+1354,1.861919823602446870051646948E+2709
10,550,1.301282406,227.3691406,5500,10,10240,-68.80003736,4914.195033,-64.95177756,4389.467955,-3.850723904,26.54316902,-27.81280484,847.6300759,4.364407507,9.382735385,69.44716476,4643.861282,0.000324483,1.69E+00,4.623556316968135150861016692E+1655,2.137727301617594663994741880E+3311
12,650,2.183056831,1573.933594,7800,10,12288,-37.47327399,1572.624574,-54.57532284,3221.513663,-1.948692554,17.07135299,-26.71927724,835.3449149,5.744089537,12.68095393,69.48208405,4529.159064,0.000925524,4.76E+00,1.081349737250999765111018630E+2348,1.169317254252806229042724425E+4696
15,800,4.651856661,1657.908203,12000,11,30720,1.152871842,12.24289476,-39.01542951,1906.831881,1.524582084,9.779846279,-16.87752891,463.5144429,8.365173142,13.78871929,69.57701335,4215.275971,0.003370139,2.16E+01,2.290593203500326442498254071E+3612,5.246817223921887906185668778E+7224
18,950,7.354924679,1732.370117,17100,11,36864,32.90968395,653.0457214,-23.45879524,949.4853351,5.742129859,2.60110713,-13.59694613,438.9808903,11.6689148,18.61051079,69.74642724,3892.699591,0.009751971,5.40E+01,4.101340759281766799959204582E+5147,1.682099602374593940349076311E+10295
20,1050,9.683301926,505.7197266,21000,11,40960,51.33081583,1734.515414,-13.08880921,518.5690456,8.967313452,0.512639494,-11.40989094,444.9227853,14.26046791,20.95044846,69.91604659,3627.98353,0.018061839,9.34E+01,4.264900893406291496268915754E+6321,1.818937963057778337967628271E+12643
21,1100,11.65260673,1828.475586,23100,11,43008,59.87680214,2325.573023,-7.9040548,382.46301,10.70395077,0.89994812,-10.31636335,482.6356461,15.67489997,16.17884291,70.02176332,3406.958442,0.024040308,1.35E+02,6.207258587178277406706346125E+6953,3.853005916809846449632389958E+13907
24,1250,16.11886573,1962.3125,30000,11,49152,83.31207108,4514.926846,7.649487866,71.73036137,16.41004482,0.084785263,-7.035780569,536.1376452,20.39974358,18.32591516,70.44000705,2950.786395,0.052658423,2.58E+02,7.940903519132960324132517843E+9030,6.305794870017823357260026157E+18061
25,1300,17.42663598,750.1445313,32500,11,51200,90.48909966,5338.123599,12.83380902,21.09405953,18.4774702,1.104252557,-5.942252976,546.1049711,22.13698397,22.18737822,70.6183705,2829.360621,0.066950552,3.01E+02,2.984414074041015631591282281E+9783,8.906727365334092732351725992E+19566
27,1400,23.19906473,2138.012695,37800,11,55296,104.0347012,6534.400125,23.20222492,9.99E-06,22.86041201,0.114685669,-3.75519779,726.5322681,25.85787552,7.069274799,71.0436917,2289.108329,0.105336645,5.33E+02,8.586893933949966032603767198E+11378,7.373474743290672361374517295E+22757
30,1550,27.90772319,2260.110352,46500,12,122880,122.608195,8968.17937,38.75439415,117.6502709,30.05505233,4.611022434,32.33121278,19.56726015,32.06205005,17.25843169,71.88089832,1933.640131,0.196093384,7.68E+02,7.848711669571297238419940289E+13997,6.160227487206466016463450147E+27995
33,1700,37.93145204,2522.055664,56100,12,135168,139.4368342,10303.3426,54.30614815,268.130673,37.99396579,0.003907969,38.89237834,0.923379353,39.02369534,1.192995426,73.00525583,1230.171713,0.344344115,1.41E+03,6.063965884895002614218825639E+16887,3.677168225317043209422857365E+33775
35,1800,40.08558106,1343.500977,63000,12,143360,149.8378756,12045.56616,64.67380547,604.5807795,43.70005984,13.06445679,43.26648871,10.11817343,44.09075988,16.04145736,73.94335053,1146.348553,0.487669652,1.57E+03,7.757590143695738870825272189E+18964,6.018020483756527446231621619E+37929
36,1850,44.74977636,2665.195313,66600,12,147456,154.8205458,12115.57428,69.85758934,630.4022723,46.67715238,3.714778322,45.45354389,0.495288736,46.7531637,4.01356081,74.47594093,883.6448599,0.57613833,1.95E+03,3.960146215654149931034275370E+20048,1.568275804935988497228370542E+40097
39,2000,55.20654702,2910.427734,78000,12,159744,168.9879952,12946.21794,85.40878899,912.1754197,56.10461212,0.806520913,52.01470945,10.18782708,55.25991707,0.002848362,76.35767815,447.370348,0.925524436,2.95E+03,2.186058554514870470585442770E+23480,4.778852003767644909115716712E+46960
40,2050,51.20757651,1620.455078,82000,12,163840,173.472179,14948.63303,90.59247781,1551.17045,59.41249272,67.32065002,54.20176464,8.965162519,58.26975677,49.87439002,77.08825483,669.80951,1.075339599,2.51E+03,2.881671335041232734181833216E+24684,8.304029683198320601312627051E+49368
42,2150,66.37433863,3227.356445,90300,12,172032,182.1175171,13396.48337,100.9597983,1196.154018,66.27634499,0.009602754,58.57587501,60.8160348,64.55266822,3.318483066,78.72073983,152.4336227,1.436042631,4.22E+03,1.020019460379498658413163850E+27183,1.040439699552883633394658926E+54366
45,2300,75.52758479,3309.012695,103500,12,184320,194.350884,14118.97644,116.5106548,1679.612029,77.19235099,2.771446503,65.13704057,107.9634093,74.63949082,0.788710909,81.64094614,37.37318694,2.162345721,5.38E+03,4.023011018547602753284911470E+31156,1.618461765535542014420453785E+62313
48,2450,89.65110064,3760.036133,117600,12,196608,205.8026655,13491.18601,132.061387,1798.63239,88.85263014,0.63755514,71.69820612,322.3064213,85.52790686,17.00072695,85.19966504,19.81527883,3.171947912,7.48E+03,1.341189313021911061761258395E+35401,1.798788773364185732741845528E+70802
50,2550,87.57646894,2659.87207,127500,12,204800,213.0500471,15743.61882,142.4284836,3008.743517,97.03963464,89.55150498,76.0723165,132.3455236,93.23567558,32.02661969,87.96956661,0.154525777,4.042356726,6.98E+03,2.110800350414309977574821753E+38381,4.455478119309173791518504572E+76762
51,2600,95.48711419,3867.320313,132600,12,208896,216.566772,14660.28352,147.6120166,2717.005446,101.2571824,33.29368731,78.25937168,296.795112,97.22495731,3.02009872,89.48381235,36.03963303,4.547101557,8.27E+03,3.779419016275454405447151384E+39916,1.428400810058452349205175098E+79833
54,2750,120.0720038,4439.771484,148500,12,221184,226.721142,11374.03867,163.1625604,1856.796066,114.4060078,32.10351078,84.82053724,1242.665898,109.73726,106.8069302,94.58585166,649.5439532,6.386801855,1.29E+04,9.002354300284303776032448958E+44702,8.104238294784729664142473627E+89405
55,2800,103.6635616,3154.095703,154000,12,225280,229.9820465,15956.35962,168.3460584,4183.825395,118.9543437,233.8080168,87.00759243,277.4213086,114.0902837,108.7165343,96.48506564,51.53080401,7.123054124,9.32E+03,4.162289209266474895794754560E+46358,1.732465146157613684754282164E+92717
57,2900,132.5105066,4681.432617,165300,13,466944,236.3311708,10778.73031,178.713032,2134.673352,128.2991064,17.73589202,216.0438484,6977.819186,123.0710576,89.10319798,100.6037944,1018.038285,8.808919526,1.53E+04,1.812521872475210101732032658E+49760,3.285235538201041790595133192E+99520
60,3050,136.9114456,4959.332031,183000,13,491520,245.4522655,11781.10959,194.2634421,3289.251499,142.9364781,36.30101612,229.1661795,8510.935926,137.2322579,0.102920521,107.6411998,856.7472889,11.95246143,1.56E+04,3.084654365615151254103654461E+55088,9.515092555308611227590534857E+110176
63,3200,158.0342221,5432.928711,201600,13,516096,254.1317813,9234.740872,209.8137994,2681.124619,158.3181229,0.080599651,242.2885106,7098.785131,152.226468,33.73000849,115.807175,1783.12351,15.97995916,2.02E+04,4.437372204158466911098887727E+60687,1.969027207823817094915299875E+121375
65,3300,152.0670166,4367.103516,214500,13,532480,259.6931807,11583.3912,220.1806785,4639.470932,168.9860379,286.2532805,251.0367314,9795.004441,162.6880364,112.8060611,121.934533,907.9665679,19.24801602,1.76E+04,8.591518388702592105533546004E+64570,7.381418822341478453240382976E+129141
66,3350,176.0704038,5874.163086,221100,13,540672,262.4105096,7454.613864,225.364111,2429.869566,174.4440409,2.645056436,255.4108417,6294.90509,168.0590232,64.18221903,125.2163748,2586.132271,21.07998558,2.40E+04,5.395619384245438037368718473E+66557,2.911270853964511992005538733E+133115
69,3500,197.8756254,6347.402344,241500,13,565248,270.3238381,5248.743534,240.9143829,1852.334646,191.314232,43.0518834,268.5331729,4992.489017,184.7350126,172.6757027,135.9890019,3829.954171,27.46979934,2.90E+04,5.545655041018270026694529417E+72698,3.075428983397135021227577705E+145397
70,3550,178.6776536,5167.892578,248500,13,573440,272.8858693,8875.187914,246.0977989,4545.475994,197.103023,339.4942405,272.9072832,8879.223109,190.4819524,139.3414721,139.9044362,1503.362381,29.92838355,2.21E+04,8.993370788041064404251656830E+74805,8.088071813119035577124863336E+149611
72,3650,199.2308822,6428.397461,262800,13,589824,277.902665,6189.249419,256.4646199,3275.700738,208.9286962,94.04759711,281.655504,6793.81828,202.2593005,9.171317547,148.2508068,2598.968088,35.39811733,2.68E+04,4.817930093642553662549713412E+79110,2.321245038722654590374413792E+158221
75,3800,222.5962615,7120.902344,285000,13,614400,285.1741275,3915.989315,272.0148263,2442.194551,227.2874336,22.00709547,294.7778351,5210.179565,220.6365453,3.840487589,162.1330878,3655.795371,45.14801512,3.15E+04,3.538052187704212182496055407E+85793,1.251781328291856187428033870E+171587
78,3950,273.5144608,7930.210938,308100,13,638976,292.1621887,347.7377562,287.5650056,197.4178093,246.3904441,735.7122825,307.9001662,1182.376736,239.8712166,1131.867879,177.7726912,9166.486451,57.03995533,4.69E+04,2.196160482401186165468427252E+92747,4.823120864460610729214696238E+185494
80,4050,246.6788325,6655.201172,324000,13,655360,296.6740512,2499.521892,297.9317782,2626.86444,259.5392695,165.3908392,316.6483869,4895.738545,253.1728068,42.17170174,189.2454733,3298.590755,66.33444691,3.25E+04,5.231125386658591333743653710E+97533,2.736467281094399668632579322E+195067
81,4100,276.1484129,8020.427734,332100,13,663552,298.8881141,517.0940078,303.1151607,727.2054863,266.2377277,98.22168121,321.0224973,2013.683449,259.9676097,261.8183921,195.3120108,6534.523914,71.434944,4.19E+04,1.152285264555914575737760977E+99972,1.327761330912694043639908820E+199944
84,4250,302.9342601,8829.176758,357000,13,688128,305.3708618,5.937027565,318.6652943,247.4654354,286.8292845,259.3702393,334.1448284,974.0995739,280.9298588,484.1936785,214.8989884,7750.209065,88.73781485,4.59E+04,5.110366426465554080493476656E+107467,2.611584501274631736109906983E+214935
85,4300,264.9536743,7432.935547,365500,13,696320,307.4807236,1808.54992,323.8486677,3468.620249,293.8585308,835.4907293,338.5189388,5411.848139,288.1103804,536.2330346,221.9093853,1852.810814,95.22834259,2.88E+04,2.906800224927664991698650866E+110026,8.449487547639523788193755292E+220052
87,4400,308.4733262,8924.333008,382800,13,712704,311.6274048,9.948211885,334.2154085,662.6547995,308.1651144,0.094994489,347.2671596,1504.961506,302.7619483,32.61983709,236.6871137,5153.260308,109.4006416,3.96E+04,1.915755901162236974442747156E+115234,3.670120672837934683324478937E+230468
90,4550,351.806006,9681.837891,409500,13,737280,317.672999,1165.062167,349.7655052,4.163643174,330.2452175,464.8675986,360.3894907,73.67620978,325.4677239,693.7050993,260.835424,8275.646784,133.9262782,4.75E+04,6.070499117329931724437484242E+123271,3.685095953350348017284492577E+246543
93,4700,371.5334644,10141.36426,437100,13,761856,323.5214068,2305.157682,365.3155863,38.66200908,353.0695937,340.9145224,373.5118218,3.913897802,349.0509014,505.4656396,287.5085045,7060.193884,162.872027,4.35E+04,1.625940789374328217936706259E+131580,2.643683450551213557174065868E+263160
95,4800,348.18174,9528.90332,456000,13,778240,327.3169982,435.3374524,375.6822989,756.2807377,368.6993296,420.97148,382.2600425,1161.3307,365.2622451,291.7436527,306.7769964,1714.352795,184.9262699,2.67E+04,4.764559726230969463012705011E+137269,2.270102938482213067886570874E+274539
96,4850,386.9266446,10974.43164,465600,13,786432,329.1850864,3334.08754,380.865653,36.73561898,376.638243,105.8512061,386.6341529,0.085551375,373.5150754,179.8701879,316.8764884,4907.024377,196.8534347,3.61E+04,3.681129955177393172866155597E+140159,1.355071774690431666993166549E+280319
99,5000,398.5304012,11177.58789,495000,13,811008,334.6753514,4077.46739,396.4157067,4.47193288,400.9511655,5.860099652,399.756484,1.503278989,398.8637269,0.111105981,349.1150565,2441.8763,236.5482168,2.62E+04,7.044556727217395771716260856E+149009,4.962577948298386622117754442E+298019
100,5050,380.6144788,10170.22754,505000,13,819200,336.468711,1948.84882,401.5990553,440.3524488,409.220867,818.3254455,404.1305944,553.0076909,407.5104141,723.3913346,360.5303171,403.3735542,251.176044,1.68E+04,1.405433530124565202301136217E+152020,1.975243407598397123986016483E+304040
102,5150,440.264436,11998.02051,525300,13,835584,340.0025067,10052.45446,411.9657486,800.8157086,426.0083611,203.2356716,412.8788151,749.9722309,425.1002303,229.9531342,384.4054373,3120.227733,282.7003097,2.48E+04,1.139520885094815188132884430E+158131,1.298507847567270999194241846E+316262
105,5300,481.5331774,12734.85547,556500,13,860160,345.1759653,18593.28929,427.5157797,2917.879257,451.8098298,883.4773883,426.0011462,3083.806482,452.2278599,858.8016329,422.9344076,3433.815825,336.12405,2.11E+04,1.558070143675317600537192415E+167523,2.427582572612424830334854387E+335046
108,5450,485.1586318,13387.32422,588600,13,884736,350.2043479,18212.65875,443.0658008,1771.806425,478.3555717,46.28162638,439.1234774,2119.235445,480.2497953,24.09667608,464.8942914,410.6434909,397.7084836,7.65E+03,1.800726763349749896323192003E+177186,3.242616876244066166453619265E+354372
110,5550,484.7415605,12820.41016,610500,13,901120,353.4799407,17229.61283,453.4324764,980.258746,496.4662181,137.4675958,447.8716981,1359.38675,499.4294518,215.7341514,494.8710968,102.6075066,443.7732158,1.68E+03,6.491616575828997704948652322E+183778,4.214108576757780110985049907E+367557
111,5600,508.598417,13721.42578,621600,13,909312,355.0955698,23563.12411,458.6158127,2498.260734,505.6455867,8.719206783,452.2458085,3175.616493,509.169127,0.325709808,510.4829611,3.551506201,468.4218006,1.61E+03,1.759157526242858625435524525E+187120,3.094635202136893833436816304E+374240
114,5750,564.5094154,14770.80078,655500,13,933888,359.8569156,41882.64566,474.1658163,8161.965899,533.6798749,950.460567,465.3681396,9828.992567,538.9888611,651.2986891,559.9038364,21.21135743,549.3159,2.31E+02,1.452639133419752239142314232E+197325,2.110160451942488746661191961E+394650
115,5800,470.0639646,12663.35156,667000,13,942080,361.4163461,11804.30501,479.349149,86.21465003,543.1900316,5347.421681,469.74225,0.103500312,549.12937,6251.338328,577.2650209,11492.06647,578.7374462,1.18E+04,1.016501152695755612563755824E+200787,1.033274593431799867847122809E+401574
117,5900,598.6345892,15561.30078,690300,13,958464,364.4951047,54821.29822,489.7158121,11863.30001,562.4584362,1308.714047,478.4904707,14434.60921,569.7119242,836.5205525,613.3658853,217.0110847,641.5310809,1.84E+03,1.013927369163714053397895736E+207801,1.028048709939250479886910159E+415602
120,6050,613.8419292,16294.17188,726000,13,983040,369.0163478,59939.56529,505.2658006,11788.77569,591.9812706,477.8883938,491.6128018,14939.95958,601.3411667,156.2690637,671.0836232,3276.611532,746.3008631,1.75E+04,5.982077708986461073867756169E+218547,3.578525371635270686456119649E+437095
125,6300,618.3570957,16351.69434,787500,13,1024000,376.3073091,58588.09922,531.1824337,7599.421699,642.839935,599.4094173,513.4833537,10998.50177,656.0778193,1422.852985,777.3371542,25274.65901,952.4797894,1.12E+05,1.323077808360420721457788576E+237061,1.750534886975814180338202044E+474122
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MSE,,13046.39537,,2595.901494,,277.0395236,,2716.049449,,292.5348913,,3217.34216,,1.58E+04,,3.890077526612920400751560098E+474120
