n,W,temp,time,mem,bit,var,log,,sqrt,,nW,,bit,,nWlognW,,nW^2,
3,200,600,0.039004564,1354.077148,8,768,-268.3325269,72023.27888,-103.3985277,10699.32308,-9.213949472,85.6171584,0.60360846,0.318777559,0.437136648,0.158509156,67.6559987,4572.057895
6,350,2100,0.242081404,1509.12793,9,3072,-155.257822,24180.21995,-87.42050467,7684.728998,-7.926912227,66.73245694,1.85479566,2.600847272,1.215878982,0.948281723,67.66099928,4545.310488
9,500,4500,0.901835203,1536.275391,9,4608,-86.4668666,7633.290054,-71.49834415,5241.785971,-5.867652635,45.82596559,2.68892046,3.193673715,2.603713106,2.896388397,67.68055713,4459.397702
12,650,7800,2.183056831,1573.933594,10,12288,-36.81954401,1521.202872,-55.59169888,3337.922397,-3.036170696,27.24033598,6.85954446,21.86953654,4.645086424,6.061589716,67.73067411,4296.490131
15,800,12000,4.651856661,1657.908203,10,15360,2.063031808,6.702014117,-39.6915453,1966.337297,0.56753359,16.68169495,8.52779406,15.02289072,7.37180551,7.398121743,67.8333528,3991.901455
18,950,17100,7.354924679,1732.370117,10,18432,34.03067,711.5953883,-23.79472205,970.3004913,4.943460223,5.815160822,10.19604366,8.071957065,10.80869529,11.92853141,68.01659649,3679.838426
21,1100,23100,11.65260673,1828.475586,11,43008,61.17681661,2452.647364,-7.899834046,382.2979401,10.0916092,2.436713266,23.54204046,141.3586345,14.97613053,11.04581049,68.31440914,3210.559853
24,1250,30000,16.11886573,1962.3125,11,49152,84.76766684,4712.657894,7.993829993,66.0162057,16.01198053,0.011424446,26.87853966,115.7705831,19.89139582,14.23198328,68.76679546,2771.804505
27,1400,37800,23.19906473,2138.012695,11,55296,105.6278697,6794.507887,23.8866708,0.472802104,22.7045742,0.244520882,30.21503886,49.22389297,25.56950258,5.618975583,69.41976082,2136.352747
30,1550,46500,27.90772319,2260.110352,11,61440,124.3246686,9296.227367,39.77893137,140.9255837,30.16939023,5.115137784,33.55153806,31.8526463,32.0237191,16.94142236,70.32531132,1799.251783
33,1700,56100,37.93145204,2522.055664,11,67584,141.2650292,10677.82816,55.67076763,314.6833179,38.40642859,0.22560273,36.88803726,1.088714395,39.26593413,1.780842449,71.54145376,1129.632216
36,1850,66600,44.74977636,2665.195313,11,73728,156.7508696,12544.24489,71.56228424,718.9105784,47.41568931,7.107091828,40.22453646,20.47779618,47.3069172,6.538969262,73.13219562,805.5617229
39,2000,78000,55.20654702,2910.427734,11,79872,171.0123734,13410.98943,87.45355402,1039.86946,57.19717237,3.962589277,43.56103566,135.6179349,56.1565116,0.902432692,75.16754511,398.4414447
42,2150,90300,66.37433863,3227.356445,12,172032,184.2290593,13889.73517,103.3446293,1366.80239,67.75087778,1.894860037,93.60852366,741.7008344,65.82378122,0.303113455,77.72351113,128.8037165
45,2300,103500,75.52758479,3309.012695,12,184320,196.5436406,14644.88577,119.2355485,1910.386088,79.07680554,12.59696789,100.2815221,612.7574103,76.31712513,0.623373951,80.88210329,28.6708683
48,2450,117600,89.65110064,3760.036133,12,196608,208.0714477,14023.37861,135.1263406,2067.997446,91.17495564,2.322134069,106.9545205,299.4083376,87.64436848,4.02697394,84.73133188,24.20412459
51,2600,132600,95.48711419,3867.320313,12,208896,218.9070146,15232.47183,151.0170278,3083.571303,104.0453281,73.24302511,113.6275189,329.0742816,99.81283601,18.71186924,89.36520793,37.47773624
54,2750,148500,120.0720038,4439.771484,12,221184,229.1287972,11893.38418,166.9076274,2193.575638,117.6879229,5.683842007,120.3005173,0.052218382,112.8294122,52.45513309,94.88374315,634.4484767
57,2900,165300,132.5105066,4681.432617,12,233472,238.8026248,11298.01438,182.7981532,2528.847402,132.10274,0.166273601,126.9735157,30.658269,126.7005914,33.75511448,101.3929499,968.3023339
60,3050,183000,136.9114456,4959.332031,12,245760,247.9842723,12337.17282,198.6886162,3816.418804,147.2897795,107.7098146,133.6465141,10.65977808,141.4325195,20.44010918,109.0048414,778.7785563
63,3200,201600,158.0342221,5432.928711,12,258048,256.7214093,9739.160913,214.5790252,3197.314752,163.2490414,27.19433962,140.3195125,313.8109386,157.0310295,1.006395481,117.8374315,1615.781979
66,3350,221100,176.0704038,5874.163086,12,270336,265.0550982,7918.27583,230.4693875,2959.249428,179.9805255,15.28905193,146.9925109,845.5238587,173.5016718,6.598384028,128.0147345,2309.347349
69,3500,241500,197.8756254,6347.402344,12,282624,273.0209615,5646.821539,246.3597092,2350.706389,197.4842321,0.153188713,153.6655093,1954.534367,190.8497406,49.36305678,139.6667659,3388.271323
72,3650,262800,199.2308822,6428.397461,12,294912,280.6501024,6629.089429,262.2499954,3971.408632,215.760161,273.2170572,160.3385077,1512.616795,209.0802961,97.01095486,152.9295414,2143.814154
75,3800,285000,222.5962615,7120.902344,12,307200,287.9698385,4273.704566,278.1402502,3085.134684,234.8083122,149.1341818,167.0115061,3089.665037,228.1981846,31.38154267,167.9450778,2986.751877
78,3950,308100,273.5144608,7930.210938,12,319488,295.0042918,461.8128352,294.0304773,420.9069337,254.6286858,356.6724992,173.6845045,9966.020183,248.2080558,640.4141318,184.8613924,7859.36654
81,4100,332100,276.1484129,8020.427734,13,663552,301.774869,656.7152498,309.9206797,1140.566004,275.2212817,0.859572392,360.5284597,7119.992284,269.1143782,49.47764516,203.8325032,5229.590808
84,4250,357000,302.9342601,8829.176758,13,688128,308.3006541,28.79818467,325.8108601,523.3388265,296.5860999,40.2991378,373.8744565,5032.511455,290.9214523,144.3075513,225.0184289,6070.876758
87,4400,382800,308.4733262,8924.333008,13,712704,314.5987329,37.52060738,341.7010207,1104.079681,318.7231406,105.0586942,387.2204533,6201.110019,313.6334235,26.6266041,248.585189,3586.588977
90,4550,409500,351.806006,9681.837891,13,737280,320.6844623,968.5504768,357.5911635,33.46804764,341.6324035,103.5021866,400.5664501,2377.580909,337.2542922,211.7523731,274.7048037,5944.595392
93,4700,437100,371.5334644,10141.36426,13,761856,326.5716964,2021.560588,373.4812902,3.794025107,365.3138888,38.68312075,413.9124469,1795.978152,361.787924,94.9755579,303.5552937,4621.03169
96,4850,465600,386.9266446,10974.43164,13,786432,332.2729759,2987.023504,389.3714023,5.976840198,389.7675965,8.07100778,427.2584437,1626.654018,387.2380584,0.096978599,335.3206808,2663.175501
99,5000,495000,398.5304012,11177.58789,13,811008,337.7996894,3688.219355,405.2615011,45.30770515,414.9935265,271.034493,440.6044405,1770.224777,413.6083168,227.3435374,370.190987,803.122401
102,5150,525300,440.264436,11998.02051,13,835584,343.1622105,9428.842193,421.1515878,365.3009672,440.9916788,0.528882123,453.9504373,187.3066303,440.9022095,0.406755018,408.3622353,1017.750408
105,5300,556500,481.5331774,12734.85547,13,860160,348.3700145,17732.42796,437.0416634,1979.494815,467.7620535,189.6438521,467.2964341,202.6848602,469.1231427,154.008961,450.0364495,992.0438653
108,5450,588600,485.1586318,13387.32422,13,884736,353.4317793,17351.96366,452.9317289,1038.573272,495.3046506,102.9416968,480.6424309,20.39607094,498.2744242,172.0240101,495.4216539,105.3296226
111,5600,621600,508.598417,13721.42578,13,909312,358.3554729,22572.94226,468.821785,1582.180455,523.61947,225.6320307,493.9884277,213.4517898,528.3592691,390.4912728,544.7318735,1305.626677
114,5750,655500,564.5094154,14770.80078,13,933888,363.1484282,40546.24715,484.7118326,6367.654227,552.7065117,139.3085356,507.3344245,3268.979588,559.3808047,26.30264804,598.1871342,1134.188743
117,5900,690300,598.6345892,15561.30078,13,958464,367.8174091,53276.57062,500.6018721,9610.413614,582.5657758,258.2067646,520.6804213,6076.852298,591.3420752,53.1807598,656.0134623,3292.33508
120,6050,726000,613.8419292,16294.17188,13,983040,372.3686678,58309.33599,516.4919044,9477.027334,613.1972622,0.415595525,534.0264181,6370.515818,624.2460464,108.2456538,718.4428851,10941.35998
,,,,,,,,,,,,,,,,,,
,,,,,,MSE,,13089.00045,,2469.826746,,69.41196646,,1562.929722,,67.54455798,,2710.205883
